ID,start,end,code,coordenadaX,coordenadaY,resultado_rucks,Velocidad de salida de la pelota,numero_de_jugadores_utilizados,jugador,Periodo,lado_de_cancha,zona_de_la_cancha,resultado,type,origine,fin,Kicker,cote_terrain_fin_action,zona_de_la_cancha_fin_de_accion,tipo_de_pase,resultado_pase,metros_recorridos,tipo_de_juego_con_el_pie,disputas,coordenadaXA,coordenadaYA,altura_de_tackles,Eficiencia,Post tackle accion,tipo_de_defensa,resultado_contactos,numero_de_defensores_abatidos,tipo_de_recuperacion,lado_de_cancha2,zona_de_la_cancha2,orden_de_llegada,Eficiencia linea,tipo_de_perdida_pelota,duel_aerien,tipos_de_faltas,origen_del_falta,tipo_de_puntos,resultado_2,tiempo,numero_de_jugadores_en_el_line,tipo_de_lanzamiento,Lanzador,saltador,resultado_saltador,resultado_lanzador,lado_de_cancha2_fin_de_action,origen_del_try,first_half_chrono,second_half_chrono,jugadores_participantes_scrums_1,jugadores_participantes_scrums_2,jugadores_participantes_scrums_3,jugadores_participantes_scrums_4,jugadores_participantes_scrums_5,tipo_de_lanzamiento_scrum,jugadores_participantes_scrums_1_opp,jugadores_participantes_scrums_2_opp,jugadores_participantes_scrums_3_opp,jugadores_participantes_scrums_4_opp,jugadores_participantes_scrums_5_opp,plaquage_dangereux,tipo_de_juego_con_manos,arret_de_volee,50_22,player_out,player_in,tiempo2,Tarjetas,player_out_yellow,player_in_yellow,scrum_reset
18,881.1247707777778,894.1247707777778,Lions Britanniques et Irlandais - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 4 y +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,882.5301867777778,898.5301867777778,Lions Britanniques et Irlandais - Juego con el pie,61,36,,,,Alex MITCHELL,1ro cuarto,20m - 0,22m - 50m,Neutro,,,,,20m - 0,50m - 22m adv,,,0m,Presion,A Disputar,53,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,882.5301867777778,898.5301867777778,Lions Britanniques et Irlandais - Juego con el pie,61,36,,,,,1ro cuarto,,,Neutro,,,,,,,,,0m,Presion,A Disputar,53,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,884.0573407777778,945.4431647777778,Argentine - Contactos,22,44,,,,Tomas ALBORNOZ,1ro cuarto,Centro,22m - 50m,,,,,,,,,,2m,,,,,,,,,Positivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,885.5179537777778,941.7656047777778,Argentine - Rucks,22,44,Positivo,3 - 6 sec,3,Tomas ALBORNOZ,1ro cuarto,Centro,22m - 50m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,888.0573407777778,900.0573407777778,Argentine - Recepcion en el aire,18,44,,,,Tomas ALBORNOZ,1ro cuarto,,,Positivo,Jeu au pied,defensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,890.0773387777779,900.0773387777779,Lions Britanniques et Irlandais - Asistente tackleador,53,56,,,,Ben EARL,1ro cuarto,20m - 0,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles altos,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,890.0773387777779,901.2601247777778,Lions Britanniques et Irlandais - Asistente tackleador,53,56,,,,,1ro cuarto,,,Positivo,,,,,,,,,,,,,,Tackles altos,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,890.5720457777778,900.5720457777778,Lions Britanniques et Irlandais - Tackles,53,56,,,,,1ro cuarto,20m - 0,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles altos,Perdida,Defensor en el suelo,Linea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,890.5720457777778,927.5303227777778,Lions Britanniques et Irlandais - Tackles,53,56,,,,Tom CURRY,1ro cuarto,20m - 0,50m - 22m adv,Positivo,,,,,,,,,,,,,,Tackles altos,Perdida,Defensor en el suelo,Linea,,,,,,,Linea de ventaja ganada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,890.7043337777778,903.7043337777778,Argentine - Apoyo en ataque,,,,,,,1ro cuarto,,,Neutro,,,,,,,,,,,,,,,,,,,,,,,Apoyo en ataque 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
